x_tip,y_tip,tip_angle_rad,Fx,Fy
215,-35,0,0,0
215,-25,0,0,0
215,-15,0,0,0
215,-5,0,0,0
215,5,0,0,0
215,15,0,0,0
215,23,0,0,0
215,35,0,0,0
