143.8806592,-6.017595633,6.017595633
142.3500469,-5.115808267,5.115808267
140.8194347,-4.858903727,4.858903727
139.2888224,-4.502383141,4.502383141
137.7582102,-4.381795295,4.381795295
136.2275979,-4.177320253,4.177320253
134.6969857,-3.962359311,3.962359311
133.1663734,-3.873229165,3.873229165
131.6357612,-3.778856068,3.778856068
130.1051489,-3.668754122,3.668754122
128.5745367,-3.637296424,3.637296424
127.0439245,-3.48000793,3.48000793
125.5133122,-3.427578432,3.427578432
123.9827,-3.280775837,3.280775837
122.4520877,-3.186402741,3.186402741
120.9214755,-3.154945042,3.154945042
119.3908632,-2.992413598,2.992413598
117.860251,-2.913769351,2.913769351
116.3296387,-2.866582803,2.866582803
114.7990265,-2.808910355,2.808910355
113.2684143,-2.651621861,2.651621861
111.737802,-2.630650062,2.630650062
110.2071898,-2.468118618,2.468118618
108.6765775,-2.378988472,2.378988472
107.1459653,-2.352773723,2.352773723
105.615353,-2.326558974,2.326558974
104.0847408,-2.200728178,2.200728178
102.5541285,-2.132569831,2.132569831
101.0235163,-2.090626233,2.090626233
99.49290405,-2.085383283,2.085383283
97.9622918,-1.880908241,1.880908241
96.43167956,-1.823235793,1.823235793
94.90106731,-1.781292194,1.781292194
93.37045507,-1.739348596,1.739348596
91.83984282,-1.545359453,1.545359453
90.30923058,-1.545359453,1.545359453
88.77861833,-1.482444056,1.482444056
87.24800609,-1.325155562,1.325155562
85.71739384,-1.256997214,1.256997214
84.1867816,-1.194081817,1.194081817
82.65616935,-1.063008072,1.063008072
81.12555711,-1.021064473,1.021064473
79.59494486,-0.921448427,0.921448427
78.06433262,-0.821832381,0.821832381
76.53372038,-0.737945184,0.737945184
75.00310813,-0.627843239,0.627843239
73.47249589,-0.543956042,0.543956042
71.94188364,-0.460068845,0.460068845
70.4112714,-0.365695749,0.365695749
68.88065915,-0.297537401,0.297537401
51.11934085,0.541334567,-0.541334567
47.21934085,0.955527601,-0.955527601
43.31934085,1.296319338,-1.296319338
39.41934085,1.595167477,-1.595167477
35.51934085,2.03033231,-2.03033231
31.61934085,2.371124047,-2.371124047
27.71934085,2.790560031,-2.790560031
23.81934085,3.005520973,-3.005520973
19.91934085,3.278154362,-3.278154362
16.01934085,3.660889698,-3.660889698
12.11934085,3.86536474,-3.86536474
8.219340849,3.912551288,-3.912551288
4.319340849,3.949251937,-3.949251937
0.419340849,4.221885326,-4.221885326
-3.480659151,4.698993758,-4.698993758
-7.380659151,5.149887441,-5.149887441
-11.28065915,5.70039717,-5.70039717
-15.18065915,6.109347254,-6.109347254
-19.08065915,6.549755037,-6.549755037
-22.98065915,6.958705122,-6.958705122
-26.88065915,7.409598804,-7.409598804
-30.78065915,7.891950186,-7.891950186
-34.68065915,8.353329768,-8.353329768
-38.58065915,8.788494602,-8.788494602
-42.48065915,9.323275481,-9.323275481
-46.38065915,9.821355712,-9.821355712
-50.28065915,10.32992184,-10.32992184
-54.18065915,10.78605848,-10.78605848
-58.08065915,11.37326885,-11.37326885
-61.98065915,11.87134908,-11.87134908
-65.88065915,12.34845752,-12.34845752
-69.78065915,12.7364358,-12.7364358
-73.68065915,13.10868524,-13.10868524
-77.58065915,13.34461798,-13.34461798
-81.48065915,13.61200842,-13.61200842
-85.38065915,13.93182836,-13.93182836
-89.28065915,13.89512771,-13.89512771
-93.18065915,3.755262794,-3.755262794
-97.08065915,3.409228107,-3.409228107
-100.9806592,3.6084602,-3.6084602
-104.8806592,3.765748694,-3.765748694
-108.7806592,3.944008987,-3.944008987
-112.6806592,4.158969929,-4.158969929
-116.5806592,4.442089218,-4.442089218
-120.4806592,4.583648862,-4.583648862
-124.3806592,4.929683549,-4.929683549
-128.2806592,5.144644491,-5.144644491
-132.1806592,5.207559889,-5.207559889
-136.0806592,5.42252083,-5.42252083
-139.9806592,5.632238822,-5.632238822
-143.8806592,5.873414513,-5.873414513
