theta,F_x,F_y,torque_x,torque_y
-51.119340849479755,0.010777174588316351,-0.025743812903742506,0.24248642823711788,-0.5792357903342064
-47.21934084947976,0.003553554864255637,-0.01712371265543054,0.07995498444575183,-0.38528353474718713
-43.31934084947976,-0.01345690448595186,-0.012231223325307527,-0.30278035093391686,-0.27520252481941937
-39.41934084947975,-0.026739043978579635,-0.01712371265543054,-0.6016284895180417,-0.38528353474718713
-35.519340849479754,-0.04607970323977446,-0.018754542432138206,-1.0367933228949253,-0.4219772047231096
-31.619340849479755,-0.060060902705698416,-0.02108429925600631,-1.3513703108782145,-0.474396733260142
-27.719340849479757,-0.08033364193128818,-0.013396101737241579,-1.8075069434539839,-0.30141228908793555
-23.819340849479758,-0.09897524121918679,0.009202539454278996,-2.2269429274317027,0.20705713772127737
-19.919340849479756,-0.11272342069401203,-0.01572585856110968,-2.5362769656152704,-0.3538318176249678
-16.019340849479754,-0.12856878008872588,-0.04042128089411154,-2.892797551996332,-0.9094788201175096
-12.119340849479755,-0.1479094393499207,-0.027607618362836987,-3.327962385373216,-0.6211714131638322
-8.219340849479757,-0.16352177875353582,-0.024811910174195265,-3.679240021954556,-0.5582679789193935
-4.319340849479758,-0.1758718382817686,-0.04834245409526308,-3.9571163613397933,-1.0877052171434194
-0.41934084947975947,-0.19404739758746978,-0.039722353846951115,-4.3660664457180705,-0.8937529615564
3.480659150520246,-0.20779557706229504,-0.04927435682481032,-4.675400483901638,-1.1086730285582322
7.380659150520245,-0.22061167657272535,-0.03995532952933792,-4.963762722886321,-0.8989949144101032
11.280659150520243,-0.23738911593183412,-0.056962554343575056,-5.341255108466267,-1.2816574727304386
15.180659150520242,-0.2569627951841276,-0.07047514392201004,-5.781662891642871,-1.5856907382452259
19.080659150520248,-0.2802647942940009,-0.07117407096917049,-6.30595787161502,-1.6014165968063359
22.98065915052024,-0.29634317367981355,-0.08678344168908675,-6.6677214077958045,-1.9526274380044517
26.880659150520245,-0.31801403285199564,-0.08911319851295485,-7.155315739169901,-2.005046966541484
30.780659150520236,-0.33898583205088173,-0.07583358461690669,-7.627181221144839,-1.7062556538804003
34.68065915052024,-0.3611227312052613,-0.09517056625501188,-8.125261452118378,-2.141337740737767
38.58065915052025,-0.38186151041304844,-0.0930737851135306,-8.59188398429359,-2.094160165054438
42.48065915052024,-0.40120216967424327,-0.08841427146579442,-9.027048817670474,-1.9893211079803743
46.380659150520245,-0.4189116889977469,-0.09214188238398335,-9.425513002449305,-2.0731923536396257
50.280659150520236,-0.44104858815212666,-0.09586949330217232,-9.92359323342285,-2.1570635992988767
54.18065915052024,-0.45922414745782775,-0.11031398561015457,-10.332543317801123,-2.4820646762284775
58.08065915052025,-0.48159406660330617,-0.07979417121748242,-10.835866498574388,-1.7953688523933544
61.98065915052024,-0.5027988857932908,-0.056496602978801436,-11.312974930349043,-1.2711735670230322
65.88065915052024,-0.5237706849921768,-0.0348298645168281,-11.784840412323978,-0.7836719516286323
69.78065915052024,-0.5426453042711742,-0.024345958809421645,-12.209519346101418,-0.547784073211987
73.68065915052024,-0.5584906636658878,-0.04251806203559282,-12.566039932482475,-0.9566563958008385
77.58065915052023,-0.5720058231496145,-0.04834245409526308,-12.870131020866324,-1.0877052171434194
81.48065915052024,-0.5871521225710321,-0.04228508635320602,-13.210922757848222,-0.9514144429471354
85.38065915052024,-0.5992691621081662,-0.011998247642920718,-13.483556147433738,-0.26996057196571616
89.28065915052025,-0.6015993620191535,-0.029704399504318274,-13.535985645430953,-0.6683489888471611
93.18065915052023,-0.5736369630873055,-0.05043923523674437,-12.906831669464374,-1.1348827928267482
97.08065915052023,-0.11645174055159177,0.07350382779303857,-2.620164162410815,1.6538361253433678
100.98065915052024,-0.12740368013323222,0.07280490074587813,-2.866582802997725,1.6381102667822578
104.88065915052024,-0.13835561971487265,0.07839631712316159,-3.1130014435846345,1.7639171352711358
108.78065915052025,-0.14511319945673593,0.07257192506349132,-3.265046987776558,1.6328683139285547
112.68065915052023,-0.15746325898496877,0.08352178213567138,-3.5429233271617973,1.8792400980526058
116.58065915052023,-0.16888123854880668,0.09866520149081405,-3.7998278673481503,2.2199670335433157
120.48065915052024,-0.16491989870012824,0.027374642680450173,-3.710697720752885,0.6159294603101289
124.38065915052024,-0.1770369382372623,0.04531377022423455,-3.9833311103384013,1.0195598300452773
128.28065915052025,-0.19008605773879134,0.052303040695838854,-4.276936299122805,1.1768184156563741
132.18065915052023,-0.198241757427247,0.04717757568332903,-4.460439542113058,1.0614954528749032
136.08065915052023,-0.2098927569821836,-0.003844098759382367,-4.722587032099131,-0.08649222208610326
139.98065915052024,-0.23459287603864928,0.018521566749751393,-5.278339710869608,0.4167352518694063
143.88065915052024,-0.26744869478357064,0.007571709677571326,-6.017595632630339,0.17036346774535482
142.3500469056223,-0.2273692563145886,-0.07769739007600115,-5.115808267078243,-1.7481912767100258
140.81943466072434,-0.21595127675075068,-0.04414889181230049,-4.8589037268918895,-0.993350065776761
139.28882241582636,-0.20010591735603686,-0.07536763325213305,-4.502383140510829,-1.6957717481729937
137.7582101709284,-0.194746457560766,-0.04577972158900817,-4.381795295117234,-1.030043735752684
136.22759792603046,-0.1856586779079154,-0.05137113796629162,-4.177320252928097,-1.1558506042415615
134.6969856811325,-0.17610485827286734,-0.05859338412028273,-3.962359311139515,-1.3183511427063612
133.16637343623455,-0.17214351842418893,-0.06232099503847168,-3.873229164544251,-1.4022223883656126
131.63576119133657,-0.16794915858441173,-0.05370089479015972,-3.778856068149264,-1.2082701327785936
