144.0287195,4.7527339935
142.4981073,4.2454786
140.967495,4.2035350015
139.4368828,4.134065917
137.9062705,4.008235122
136.3756583,3.929590875
134.845046,3.760505744
133.3144338,3.671375597
131.7838215,3.5468555395
130.2532093,3.521951528
128.722597,3.4603468675
127.1919848,3.312233536
125.6613726,3.2925724745
124.1307603,3.2060638025
122.6001481,3.0422216215
121.0695358,3.039600146
119.5389236,2.9386733625
118.0083113,2.920323038
116.4776991,2.881000915
114.9470868,2.7341983205
113.4164746,2.7145372585
111.8858624,2.6555540735
110.3552501,2.6005031005
108.8246379,2.5467628655
107.2940256,2.4864689425
105.7634134,2.3986495335
104.2328011,2.3029656995
102.7021889,2.2675757885
101.1715766,2.1312590935
99.64096439,2.0998013945
98.11035215,2.059168534
96.5797399,1.918919627
95.04912766,1.8402753795
93.51851541,1.7917780945
91.98790317,1.7498344955
90.45729092,1.647596975
88.92667868,1.5781278895
87.39606643,1.5506024035
85.86545419,1.415596446
84.33484194,1.364477685
82.8042297,1.3736528475
81.27361745,1.2517542645
79.74300521,1.2137428785
78.21239296,1.1560704305
76.68178072,1.0538329095
75.15116848,0.993538987
73.62055623,0.929312852
72.08994399,0.8559115545
70.55933174,0.7733350955
69.0287195,0.6763405245
50.9712805,-0.332927312
47.0712805,-0.606871439
43.1712805,-0.867708192
39.2712805,-1.1521382185
35.3712805,-1.43918972
31.4712805,-1.745902283
27.5712805,-2.0473718965
23.6712805,-2.338355611
19.7712805,-2.735509058
15.8712805,-3.052707521
11.9712805,-3.47476498
8.071280505,-3.841771466
4.171280505,-4.1668343535
0.271280505,-4.539083789
-3.628719495,-5.054203607
-7.528719495,-5.3451873205
-11.4287195,-5.8183635405
-15.3287195,-6.2849860725
-19.2287195,-6.5733483115
-23.1287195,-7.0321064185
-27.0287195,-7.4790678895
-30.9287195,-7.899814611
-34.8287195,-8.299589533
-38.7287195,-8.856652949
-42.6287195,-9.3311399045
-46.5287195,-9.683728281
-50.4287195,-10.272249396
-54.3287195,-10.7257645525
-58.2287195,-11.23564142
-62.1287195,-11.767800825
-66.0287195,-12.265881055
-69.9287195,-12.638130495
-73.8287195,-13.162425475
-77.7287195,-13.56351113
-81.6287195,-13.98556859
-85.5287195,-14.224122805
-89.4287195,-14.127128235
-93.3287195,-2.513994429
-97.2287195,-2.7119157835
-101.1287195,-2.8508539535
-105.0287195,-3.0264927715
-108.9287195,-3.162809467
-112.8287195,-3.388256308
-116.7287195,-3.548166277
-120.6287195,-3.681861497
-124.5287195,-3.891579489
-128.4287195,-3.972845211
-132.3287195,-4.297908098
-136.2287195,-4.474857654
-140.1287195,-4.617728036
