x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,-69.06815,40.239124
0.21,-0.05,-28.64788975654116,-25.320305,3.8335094
0.21,-0.03,-28.64788975654116,-13.825668,-15.392956
0.21,-0.01,-28.64788975654116,-19.345345,-32.833473
0.21,0.01,-28.64788975654116,-46.553993,-59.8639
0.21,0.03,-28.64788975654116,-105.49682,-115.11394
0.21,0.05,-28.64788975654116,-262.2971,-254.01505
0.21,0.07,-28.64788975654116,-695.66077,-662.8534
0.21,-0.07,28.64788975654116,-647.3384,599.63635
0.21,-0.05,28.64788975654116,-158.92288,167.17818
0.21,-0.03,28.64788975654116,-10.954315,52.93776
0.21,-0.01,28.64788975654116,35.59304,22.305561
0.21,0.01,28.64788975654116,57.103954,12.919086
0.21,0.03,28.64788975654116,63.1289,13.710644
0.21,0.05,28.64788975654116,54.14048,13.7111435
0.21,0.07,28.64788975654116,23.364376,1.8079967
