x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,195.37712,0.25974846
0.21,-0.05,-28.64788975654116,189.9888,21.543238
0.21,-0.03,-28.64788975654116,182.16664,42.019962
0.21,-0.01,-28.64788975654116,171.89197,59.062454
0.21,0.01,-28.64788975654116,154.56007,69.9113
0.21,0.03,-28.64788975654116,118.00902,64.46684
0.21,0.05,-28.64788975654116,-2.352993,-6.600754
0.21,0.07,-28.64788975654116,-616.7825,-501.7504
0.21,-0.07,28.64788975654116,-598.8277,673.51074
0.21,-0.05,28.64788975654116,-102.6139,239.23186
0.21,-0.03,28.64788975654116,42.161842,126.43318
0.21,-0.01,28.64788975654116,79.17397,95.031296
0.21,0.01,28.64788975654116,88.18359,85.652695
0.21,0.03,28.64788975654116,85.01895,81.50902
0.21,0.05,28.64788975654116,70.32428,76.18097
0.21,0.07,28.64788975654116,38.84495,61.117393
