x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,268.60748,-94.662094
0.21,-0.05,-28.64788975654116,299.51807,-71.486275
0.21,-0.03,-28.64788975654116,314.4058,-36.85128
0.21,-0.01,-28.64788975654116,313.23218,0.6361389
0.21,0.01,-28.64788975654116,290.3082,31.1366
0.21,0.03,-28.64788975654116,239.78908,35.577477
0.21,0.05,-28.64788975654116,59.482086,-63.326385
0.21,0.07,-28.64788975654116,-580.26764,-579.2033
0.21,-0.07,28.64788975654116,-574.6661,550.8278
0.21,-0.05,28.64788975654116,120.964264,12.036928
0.21,-0.03,28.64788975654116,220.56259,-26.527308
0.21,-0.01,28.64788975654116,236.09213,-14.159531
0.21,0.01,28.64788975654116,256.38623,2.2568054
0.21,0.03,28.64788975654116,270.7555,30.217728
0.21,0.05,28.64788975654116,269.17953,64.510605
0.21,0.07,28.64788975654116,237.21147,81.525024
