x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,38.248703,32.551933
0.21,-0.05,-28.64788975654116,84.444046,5.7859573
0.21,-0.03,-28.64788975654116,108.439644,-0.14821625
0.21,-0.01,-28.64788975654116,115.41957,5.337612
0.21,0.01,-28.64788975654116,110.501656,13.175219
0.21,0.03,-28.64788975654116,92.16769,18.124414
0.21,0.05,-28.64788975654116,-44.408417,-51.61156
0.21,0.07,-28.64788975654116,-635.9507,-522.7066
0.21,-0.07,28.64788975654116,-667.24646,717.659
0.21,-0.05,28.64788975654116,-203.34183,287.33832
0.21,-0.03,28.64788975654116,-30.624886,139.6114
0.21,-0.01,28.64788975654116,29.727982,85.95074
0.21,0.01,28.64788975654116,60.514744,59.032593
0.21,0.03,28.64788975654116,70.62593,50.097046
0.21,0.05,28.64788975654116,67.37022,45.937035
0.21,0.07,28.64788975654116,44.38332,37.10296
