x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,143.81805,-113.663055
0.21,-0.05,-28.64788975654116,162.25613,-106.767136
0.21,-0.03,-28.64788975654116,179.04283,-96.09129
0.21,-0.01,-28.64788975654116,194.75258,-79.80899
0.21,0.01,-28.64788975654116,198.93723,-65.80295
0.21,0.03,-28.64788975654116,188.24539,-58.915405
0.21,0.05,-28.64788975654116,40.303513,-148.5151
0.21,0.07,-28.64788975654116,-558.4686,-641.44635
0.21,-0.07,28.64788975654116,-635.13464,518.7148
0.21,-0.05,28.64788975654116,-103.193275,78.29963
0.21,-0.03,28.64788975654116,26.67622,-10.372732
0.21,-0.01,28.64788975654116,73.97424,-32.83723
0.21,0.01,28.64788975654116,93.65301,-35.232025
0.21,0.03,28.64788975654116,103.49933,-32.07466
0.21,0.05,28.64788975654116,96.94766,-33.09417
0.21,0.07,28.64788975654116,71.8567,-44.47088
