x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,129.49008,-135.35016
0.21,-0.05,-28.64788975654116,194.58209,-156.98776
0.21,-0.03,-28.64788975654116,254.10287,-153.12506
0.21,-0.01,-28.64788975654116,299.93433,-124.36085
0.21,0.01,-28.64788975654116,322.29346,-82.76355
0.21,0.03,-28.64788975654116,312.70782,-44.545883
0.21,0.05,-28.64788975654116,170.19244,-93.269104
0.21,0.07,-28.64788975654116,-515.32965,-618.20483
0.21,-0.07,28.64788975654116,-656.8739,530.16925
0.21,-0.05,28.64788975654116,-90.60353,56.85426
0.21,-0.03,28.64788975654116,70.56162,-50.72056
0.21,-0.01,28.64788975654116,124.42572,-76.15222
0.21,0.01,28.64788975654116,167.95914,-82.510826
0.21,0.03,28.64788975654116,207.8797,-74.25451
0.21,0.05,28.64788975654116,235.73232,-51.533722
0.21,0.07,28.64788975654116,238.74228,-22.710526
