x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,38.845955,-61.119118
0.21,-0.05,-28.64788975654116,70.324776,-76.18182
0.21,-0.03,-28.64788975654116,85.018906,-81.50906
0.21,-0.01,-28.64788975654116,88.18584,-85.65468
0.21,0.01,-28.64788975654116,79.17045,-95.029396
0.21,0.03,-28.64788975654116,42.160847,-126.432884
0.21,0.05,-28.64788975654116,-102.61583,-239.23224
0.21,0.07,-28.64788975654116,-598.83124,-673.5194
0.21,-0.07,28.64788975654116,-616.7901,501.7676
0.21,-0.05,28.64788975654116,-2.344431,6.5909767
0.21,-0.03,28.64788975654116,118.01093,-64.46915
0.21,-0.01,28.64788975654116,154.55945,-69.91052
0.21,0.01,28.64788975654116,171.89133,-59.061737
0.21,0.03,28.64788975654116,182.16667,-42.019905
0.21,0.05,28.64788975654116,189.98795,-21.542751
0.21,0.07,28.64788975654116,195.37816,-0.25984573
