x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,237.21051,-81.524445
0.21,-0.05,-28.64788975654116,269.17673,-64.50757
0.21,-0.03,-28.64788975654116,270.75278,-30.214874
0.21,-0.01,-28.64788975654116,256.3885,-2.2585678
0.21,0.01,-28.64788975654116,236.09396,14.1586685
0.21,0.03,-28.64788975654116,220.55864,26.527773
0.21,0.05,-28.64788975654116,120.96048,-12.038319
0.21,0.07,-28.64788975654116,-574.6533,-550.8035
0.21,-0.07,28.64788975654116,-580.26166,579.19965
0.21,-0.05,28.64788975654116,59.482174,63.326553
0.21,-0.03,28.64788975654116,239.77324,-35.579224
0.21,-0.01,28.64788975654116,290.31204,-31.135246
0.21,0.01,28.64788975654116,313.23615,-0.6331978
0.21,0.03,28.64788975654116,314.40347,36.849358
0.21,0.05,28.64788975654116,299.5174,71.485565
0.21,0.07,28.64788975654116,268.60623,94.6606
