x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,-26.533394,0.66700745
0.21,-0.05,-28.64788975654116,22.417812,-34.770844
0.21,-0.03,-28.64788975654116,47.29327,-49.90629
0.21,-0.01,-28.64788975654116,54.796467,-56.243347
0.21,0.01,-28.64788975654116,47.451317,-63.831238
0.21,0.03,-28.64788975654116,12.911972,-86.12355
0.21,0.05,-28.64788975654116,-126.89336,-188.01553
0.21,0.07,-28.64788975654116,-619.1891,-612.8055
0.21,-0.07,28.64788975654116,-668.8529,614.582
0.21,-0.05,28.64788975654116,-161.09523,164.91393
0.21,-0.03,28.64788975654116,7.533268,35.90431
0.21,-0.01,28.64788975654116,64.43106,1.0844173
0.21,0.01,28.64788975654116,95.019905,-8.100027
0.21,0.03,28.64788975654116,105.964935,-5.454486
0.21,0.05,28.64788975654116,103.31557,0.6301727
0.21,0.07,28.64788975654116,87.03537,1.3673134
