x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,23.36637,-1.8077688
0.21,-0.05,-28.64788975654116,54.161507,-13.701826
0.21,-0.03,-28.64788975654116,63.128128,-13.711273
0.21,-0.01,-28.64788975654116,57.10691,-12.916393
0.21,0.01,-28.64788975654116,35.59393,-22.305
0.21,0.03,-28.64788975654116,-10.952541,-52.935356
0.21,0.05,-28.64788975654116,-158.92155,-167.17807
0.21,0.07,-28.64788975654116,-647.3461,-599.6573
0.21,-0.07,28.64788975654116,-695.65674,662.85095
0.21,-0.05,28.64788975654116,-262.309,254.0165
0.21,-0.03,28.64788975654116,-105.49292,115.11472
0.21,-0.01,28.64788975654116,-46.526108,59.87706
0.21,0.01,28.64788975654116,-19.343786,32.834747
0.21,0.03,28.64788975654116,-13.824327,15.3944435
0.21,0.05,28.64788975654116,-25.313694,-3.824728
0.21,0.07,28.64788975654116,-69.066345,-40.236732
