x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,71.855515,44.472427
0.21,-0.05,-28.64788975654116,96.95201,33.09011
0.21,-0.03,-28.64788975654116,103.501816,32.07293
0.21,-0.01,-28.64788975654116,93.6488,35.23462
0.21,0.01,-28.64788975654116,73.978806,32.835217
0.21,0.03,-28.64788975654116,26.675278,10.373217
0.21,0.05,-28.64788975654116,-103.22439,-78.30692
0.21,0.07,-28.64788975654116,-635.15656,-518.7109
0.21,-0.07,28.64788975654116,-558.4678,641.44714
0.21,-0.05,28.64788975654116,40.307266,148.5108
0.21,-0.03,28.64788975654116,188.24557,58.91295
0.21,-0.01,28.64788975654116,198.9397,65.80272
0.21,0.01,28.64788975654116,194.7519,79.80817
0.21,0.03,28.64788975654116,179.04535,96.09169
0.21,0.05,28.64788975654116,162.25748,106.76799
0.21,0.07,28.64788975654116,143.81494,113.66246
