x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,238.73601,22.71939
0.21,-0.05,-28.64788975654116,235.7331,51.53273
0.21,-0.03,-28.64788975654116,207.87997,74.25398
0.21,-0.01,-28.64788975654116,167.95451,82.51413
0.21,0.01,-28.64788975654116,124.42871,76.15113
0.21,0.03,-28.64788975654116,70.56467,50.720406
0.21,0.05,-28.64788975654116,-90.60924,-56.85608
0.21,0.07,-28.64788975654116,-656.8814,-530.16113
0.21,-0.07,28.64788975654116,-515.3072,618.21326
0.21,-0.05,28.64788975654116,170.19315,93.268524
0.21,-0.03,28.64788975654116,312.7049,44.54625
0.21,-0.01,28.64788975654116,322.30722,82.7664
0.21,0.01,28.64788975654116,299.93787,124.363396
0.21,0.03,28.64788975654116,254.10779,153.12463
0.21,0.05,28.64788975654116,194.57956,156.98477
0.21,0.07,28.64788975654116,129.5069,135.35909
