x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,8.310972,35.067352
0.21,-0.05,-28.64788975654116,31.244106,17.814531
0.21,-0.03,-28.64788975654116,30.65205,8.312983
0.21,-0.01,-28.64788975654116,13.764006,-5.883583
0.21,0.01,-28.64788975654116,-20.044472,-34.251053
0.21,0.03,-28.64788975654116,-85.864,-93.475044
0.21,0.05,-28.64788975654116,-245.95026,-237.30887
0.21,0.07,-28.64788975654116,-700.7987,-664.0226
0.21,-0.07,28.64788975654116,-594.69244,568.0947
0.21,-0.05,28.64788975654116,-32.98352,109.28045
0.21,-0.03,28.64788975654116,90.48662,34.543224
0.21,-0.01,28.64788975654116,114.90373,30.36882
0.21,0.01,28.64788975654116,118.71823,37.824245
0.21,0.03,28.64788975654116,110.49599,45.392025
0.21,0.05,28.64788975654116,93.89769,48.63684
0.21,0.07,28.64788975654116,61.92473,38.261192
