x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,61.927574,-38.260567
0.21,-0.05,-28.64788975654116,93.87465,-48.648796
0.21,-0.03,-28.64788975654116,110.49524,-45.392673
0.21,-0.01,-28.64788975654116,118.72069,-37.821194
0.21,0.01,-28.64788975654116,114.9037,-30.368843
0.21,0.03,-28.64788975654116,90.485,-34.54582
0.21,0.05,-28.64788975654116,-32.986404,-109.283325
0.21,0.07,-28.64788975654116,-594.68494,-568.08527
0.21,-0.07,28.64788975654116,-700.79333,664.0214
0.21,-0.05,28.64788975654116,-245.95428,237.30923
0.21,-0.03,28.64788975654116,-85.85711,93.47654
0.21,-0.01,28.64788975654116,-20.044487,34.251114
0.21,0.01,28.64788975654116,13.759401,5.879753
0.21,0.03,28.64788975654116,30.658123,-8.3050995
0.21,0.05,28.64788975654116,31.243458,-17.815315
0.21,0.07,28.64788975654116,8.310743,-35.067245
