x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,-28.64788975654116,44.385803,-37.106068
0.21,-0.05,-28.64788975654116,67.3719,-45.938297
0.21,-0.03,-28.64788975654116,70.62572,-50.097237
0.21,-0.01,-28.64788975654116,60.520046,-59.03527
0.21,0.01,-28.64788975654116,29.730907,-85.95189
0.21,0.03,-28.64788975654116,-30.624107,-139.61105
0.21,0.05,-28.64788975654116,-203.3343,-287.3362
0.21,0.07,-28.64788975654116,-667.22766,-717.65796
0.21,-0.07,28.64788975654116,-635.9221,522.69257
0.21,-0.05,28.64788975654116,-44.409653,51.613174
0.21,-0.03,28.64788975654116,92.16749,-18.124712
0.21,-0.01,28.64788975654116,110.50351,-13.175923
0.21,0.01,28.64788975654116,115.39491,-5.3336334
0.21,0.03,28.64788975654116,108.43763,0.14822388
0.21,0.05,28.64788975654116,84.445465,-5.787348
0.21,0.07,28.64788975654116,38.24318,-32.55405
