x_tip,y_tip,tip_angle_deg,F_x,F_y
160.0,-71.0,14.999999999999998,104.05545,-121.87697
160.0,-46.714286,14.999999999999998,135.76608,-134.5677
160.0,-22.428571,14.999999999999998,177.26167,-127.95629
160.0,1.857143,14.999999999999998,211.387,-97.69708
160.0,26.142857,14.999999999999998,221.35905,-62.54892
160.0,50.428571,14.999999999999998,219.09682,-40.721405
160.0,74.714286,14.999999999999998,100.23844,39.744823
160.0,99.0,14.999999999999998,76.02936,6.9139347
