x_tip,y_tip,tip_angle_deg,F_x,F_y
0.2,-0.07,0.0,86.77637,-73.14397
0.2,-0.05,0.0,117.64078,-88.16869
0.2,-0.03,0.0,135.08647,-84.94428
0.2,-0.01,0.0,150.10442,-76.51909
0.2,0.01,0.0,163.56609,-64.01911
0.2,0.03,0.0,173.01677,-48.586628
0.2,0.05,0.0,171.04352,-39.667236
0.2,0.07,0.0,155.06502,-43.64303
