x_tip,y_tip,tip_angle_deg,F_x,F_y
0.21,-0.07,0.0,-26.655163,134.0805
0.21,-0.05,0.0,63.689163,53.39132
0.21,-0.03,0.0,102.86936,26.183971
0.21,-0.01,0.0,124.45178,19.115437
0.21,0.01,0.0,134.95395,22.567043
0.21,0.03,0.0,136.80923,31.289219
0.21,0.05,0.0,124.62268,41.745308
0.21,0.07,0.0,79.21828,33.89119
